epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.04683,0.75126,0.5,1,0.77596,0.00010002,0.00010002,0.00010002
2,1.69747,0.66783,0.5,1,0.75866,0.000209559,0.000209559,0.000209559
3,2.14003,0.59975,0.525,1,0.68231,0.000311396,0.000311396,0.000311396
4,2.55819,0.45057,0.525,1,0.61456,0.000405531,0.000405531,0.000405531
5,2.96831,0.41348,0.575,1,0.51931,0.000491965,0.000491965,0.000491965
6,3.43218,0.41461,0.575,1,0.51934,0.000570697,0.000570697,0.000570697
7,3.95103,0.25378,0.95,1,0.29482,0.000641728,0.000641728,0.000641728
8,4.35839,0.26685,1,1,0.24614,0.000705058,0.000705058,0.000705058
9,4.78155,0.22491,1,1,0.19791,0.000760685,0.000760685,0.000760685
10,5.25813,0.32353,1,1,0.23232,0.000808612,0.000808612,0.000808612
11,5.66509,0.1947,1,1,0.26047,0.000848836,0.000848836,0.000848836
12,6.07428,0.25661,1,1,0.2641,0.00088136,0.00088136,0.00088136
13,6.47406,0.16678,1,1,0.27523,0.000906181,0.000906181,0.000906181
14,6.91318,0.1579,1,1,0.24197,0.000923301,0.000923301,0.000923301
15,7.31838,0.20421,1,1,0.22005,0.000896846,0.000896846,0.000896846
16,7.76959,0.21984,1,1,0.28257,0.000841835,0.000841835,0.000841835
17,8.16546,0.35658,1,1,0.31123,0.000786824,0.000786824,0.000786824
18,8.56886,0.57919,1,1,0.28915,0.000731813,0.000731813,0.000731813
19,8.9793,0.24122,0.95,1,0.43874,0.000676802,0.000676802,0.000676802
20,9.36833,0.2295,0.575,1,0.58473,0.000621791,0.000621791,0.000621791
21,10.5399,0.19363,0.5,1,0.77363,0.00056678,0.00056678,0.00056678
22,10.9458,0.1416,0.5,1,0.96013,0.000511769,0.000511769,0.000511769
23,11.3343,0.14615,0.5,1,0.90777,0.000456758,0.000456758,0.000456758
24,11.7249,0.17503,0.5,1,0.89831,0.000401747,0.000401747,0.000401747
25,12.1071,0.16376,0.5,1,0.81893,0.000346736,0.000346736,0.000346736
26,12.5025,0.14026,0.5,1,0.91204,0.000291725,0.000291725,0.000291725
27,12.8989,0.2022,0.5,1,0.78337,0.000236714,0.000236714,0.000236714
28,13.2878,0.27397,0.5,1,0.57749,0.000181703,0.000181703,0.000181703
29,13.6863,0.11364,0.5,1,0.69447,0.000126692,0.000126692,0.000126692
30,14.0897,0.41334,0.5,1,0.75619,7.1681e-05,7.1681e-05,7.1681e-05
